table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,0,0,Trái phiếu kỳ hạn từ một năm đến hai năm,Trái phiếu,Trái phiếu kỳ hạn từ một năm đến hai năm,,,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,0,1,Trái phiếu kỳ hạn từ một năm đến hai năm,Tại ngày 31 tháng 12 năm 2024 | Giá trị ghi số Triệu VND,37.399.160,37399160.0,37399160000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,0,2,Trái phiếu kỳ hạn từ một năm đến hai năm,Tại ngày 31 tháng 12 năm 2024 | Mệnh giá Triệu VND,37.400.000,37400000.0,37400000000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,1,0,Trái phiếu kỳ hạn ba năm,Trái phiếu,Trái phiếu kỳ hạn ba năm,,,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,1,1,Trái phiếu kỳ hạn ba năm,Tại ngày 31 tháng 12 năm 2024 | Giá trị ghi số Triệu VND,2.069.789,2069789.0,2069789000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,1,2,Trái phiếu kỳ hạn ba năm,Tại ngày 31 tháng 12 năm 2024 | Mệnh giá Triệu VND,2.070.000,2070000.0,2070000000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,2,0,Trái phiếu kỳ hạn năm năm,Trái phiếu,Trái phiếu kỳ hạn năm năm,,,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,2,1,Trái phiếu kỳ hạn năm năm,Tại ngày 31 tháng 12 năm 2024 | Giá trị ghi số Triệu VND,3.814.587,3814587.0,3814587000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,2,2,Trái phiếu kỳ hạn năm năm,Tại ngày 31 tháng 12 năm 2024 | Mệnh giá Triệu VND,3.820.000,3820000.0,3820000000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,3,0,Trái phiếu kỳ hạn mười năm,Trái phiếu,Trái phiếu kỳ hạn mười năm,,,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,3,1,Trái phiếu kỳ hạn mười năm,Tại ngày 31 tháng 12 năm 2024 | Giá trị ghi số Triệu VND,2.414.619,2414619.0,2414619000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,3,2,Trái phiếu kỳ hạn mười năm,Tại ngày 31 tháng 12 năm 2024 | Mệnh giá Triệu VND,2.430.000,2430000.0,2430000000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,4,0,Chứng chỉ tiền gửi,Trái phiếu,Chứng chỉ tiền gửi,,,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,4,1,Chứng chỉ tiền gửi,Tại ngày 31 tháng 12 năm 2024 | Giá trị ghi số Triệu VND,,,,False,True
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,4,2,Chứng chỉ tiền gửi,Tại ngày 31 tháng 12 năm 2024 | Mệnh giá Triệu VND,,,,False,True
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,5,0,Chứng chỉ tiền gửi kỳ hạn dưới một năm,Trái phiếu,Chứng chỉ tiền gửi kỳ hạn dưới một năm,,,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,5,1,Chứng chỉ tiền gửi kỳ hạn dưới một năm,Tại ngày 31 tháng 12 năm 2024 | Giá trị ghi số Triệu VND,55.950.000,55950000.0,55950000000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,5,2,Chứng chỉ tiền gửi kỳ hạn dưới một năm,Tại ngày 31 tháng 12 năm 2024 | Mệnh giá Triệu VND,55.950.000,55950000.0,55950000000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,6,0,,Trái phiếu,,,,False,True
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,6,1,,Tại ngày 31 tháng 12 năm 2024 | Giá trị ghi số Triệu VND,101.648.155,101648155.0,101648155000000.0,False,False
ACB_financial_statements_2024_separate|table_63,ACB_financial_statements_2024_separate,ACB,2024,separate,MILLION_VND,6,2,,Tại ngày 31 tháng 12 năm 2024 | Mệnh giá Triệu VND,101.670.000,101670000.0,101670000000000.0,False,False
