table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,0,0,Cộng,Ngân hàng | Ngân hàng TMCP Sài Gòn Thương Tín – chi nhánh Bà Rịa Vũng Tàu,Cộng,,,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,VND,0,1,Cộng,Số dư cuối năm VND | 332.835.753.678,1.119.206.734.515,1119206734515.0,1119206734515.0,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,VND,0,2,Cộng,Phân loại thành nợ đến hạn trả VND | 274.268.604.000,917.850.674.288,917850674288.0,917850674288.0,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,0,3,Cộng,Thời hạn vay | Đến ngày 16 tháng 03 năm 2026,,,,False,True
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,0,4,Cộng,"Lãi suất (%/năm) | 10,5%-11%",,,,False,True
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,0,5,Cộng,"Tài sản đảm bảo | - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng",,,,False,True
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,0,6,Cộng,"Tài sản đảm bảo | - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng__2",,,,False,True
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,0,7,Cộng,"Tài sản đảm bảo | - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng__3",,,,False,True
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,1,0,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,Ngân hàng | Ngân hàng TMCP Sài Gòn Thương Tín – chi nhánh Bà Rịa Vũng Tàu,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,VND,1,1,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,Số dư cuối năm VND | 332.835.753.678,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,VND,1,2,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,Phân loại thành nợ đến hạn trả VND | 274.268.604.000,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,1,3,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,Thời hạn vay | Đến ngày 16 tháng 03 năm 2026,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,1,4,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,"Lãi suất (%/năm) | 10,5%-11%",19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,False,False
DIG_financial_statements_2024_separate|table_37,DIG_financial_statements_2024_separate,DIG,2024,separate,PERCENT,1,5,19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,"Tài sản đảm bảo | - Toàn bộ tài sản và quyền tài sản phát sinh từ dự án Hạ tầng kỹ thuật Khu đô thị mới Bắc Vũng Tàu (diện tích 19,6ha) tại phường 12, thành phố Vũng Tàu, Quyền sử dụng 9.282 m2 đất ở đô thị và toàn bộ tài sản hình thành trên đất tại Phường Thắng Nhất, TP.Vũng Tàu.- Quyền sử dụng đất và tài sản gắn liền với đất thuộc thừa đất số 221+222+223+2 24; 94; 95 tờ bản đồ số 38 45 tại phường Thắng Nhất thành phố Vũng Tàu, tỉnh Bà Rịa Vũng Tàu; Theo Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất số BN 981921, số vào số cấp giấy chứng nhận: CT 05386 do Sở Tài Nguyên và Môi Trường tính Bà Rịa Vũng Tàu cấp ngày 20/05/2014 thuộc sở hữu, sử dụng của Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng",19.3. Chi tiết trái phiếu và chi phí phát hành như sau:,,,False,False
