table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,0,0,Ngân hàngThương mạiCổ phần Pháttriển Thành phốHồ Chí Minh,Bên cho vay | Ngân hàngThương mạiCổ phần Đầu tưvà Phát triểnViệt Nam | Ngân hàngThương mạiCổ phầnCông ThươngViệt Nam,Ngân hàngThương mạiCổ phần Pháttriển Thành phốHồ Chí Minh,,,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,0,1,Ngân hàngThương mạiCổ phần Pháttriển Thành phốHồ Chí Minh,Số cuối nămVND | 216.577.363.073 | 43.714.979.785,29.941.957.999,29941957999.0,29941957999.0,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,0,2,Ngân hàngThương mạiCổ phần Pháttriển Thành phốHồ Chí Minh,Ngày đáo hạn | Từ ngày 3 tháng1 năm 2024 đếnngày 29 tháng11 năm 2024 | Từ ngày 15tháng 2 năm2024 đến ngày24 tháng 5 năm2024,Từ ngày 31tháng 1 năm2024 đến ngày29 tháng 6 năm2024,,,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,0,3,Ngân hàngThương mạiCổ phần Pháttriển Thành phốHồ Chí Minh,"Hình thức đảm bảo(Thuyết minh số 5, 6, 11,15 và 17) | (i) Tiền gửi có kỳ hạn; và(ii) Quyền sử dụng đất và tài sảngắn liền với đất tại Quận TânPhú, Thành phố Hồ Chí Minh. | Quyền sử dụng đất và nhàkho kết hợp nhà xưởng trênđất tại Huyện Cần Giuộc, TĩnhLong An thuộc sở hữu củabên thứ ba.","(i) Thừa đất tại Quận 7, Thànhphó Hồ Chí Minh thuộc sở hữu của bên thứ ba.(ii) Một số cổ phần thuộc sở hữu của bên thứ ba.",,,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,1,0,Ngân hàngThương mạiCổ phần Nam Á,Bên cho vay | Ngân hàngThương mạiCổ phần Đầu tưvà Phát triểnViệt Nam | Ngân hàngThương mạiCổ phầnCông ThươngViệt Nam,Ngân hàngThương mạiCổ phần Nam Á,,,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,1,1,Ngân hàngThương mạiCổ phần Nam Á,Số cuối nămVND | 216.577.363.073 | 43.714.979.785,10.140.178.582,10140178582.0,10140178582.0,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,1,2,Ngân hàngThương mạiCổ phần Nam Á,Ngày đáo hạn | Từ ngày 3 tháng1 năm 2024 đếnngày 29 tháng11 năm 2024 | Từ ngày 15tháng 2 năm2024 đến ngày24 tháng 5 năm2024,Từ ngày 25tháng 1 năm2024 đến ngày12 tháng 7 năm2024,,,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,1,3,Ngân hàngThương mạiCổ phần Nam Á,"Hình thức đảm bảo(Thuyết minh số 5, 6, 11,15 và 17) | (i) Tiền gửi có kỳ hạn; và(ii) Quyền sử dụng đất và tài sảngắn liền với đất tại Quận TânPhú, Thành phố Hồ Chí Minh. | Quyền sử dụng đất và nhàkho kết hợp nhà xưởng trênđất tại Huyện Cần Giuộc, TĩnhLong An thuộc sở hữu củabên thứ ba.","(i) Tiền gửi có kỳ hạn;(ii) Toàn bộ tài sản gắn liền vớiđất của dự án Khu phức hợpvăn phòng Thương mại dịch vụ tại Quận Bình Thạnh,Thành phố Hồ Chí Minh vàquyền tài sản phát sinh tửhợp đồng cho thuê mặt bằngdự án; và(iii) Một số cổ phần thuộc sở hữu của bên thứ ba.",,,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,2,0,Ngân hàngThương mạiCổ phầnPhương Đông,Bên cho vay | Ngân hàngThương mạiCổ phần Đầu tưvà Phát triểnViệt Nam | Ngân hàngThương mạiCổ phầnCông ThươngViệt Nam,Ngân hàngThương mạiCổ phầnPhương Đông,,,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,2,1,Ngân hàngThương mạiCổ phầnPhương Đông,Số cuối nămVND | 216.577.363.073 | 43.714.979.785,4.000.000.000,4000000000.0,4000000000.0,False,False
SCR_financial_statements_2023_consolidated|table_46,SCR_financial_statements_2023_consolidated,SCR,2023,consolidated,VND,2,2,Ngân hàngThương mạiCổ phầnPhương Đông,Ngày đáo hạn | Từ ngày 3 tháng1 năm 2024 đếnngày 29 tháng11 năm 2024 | Từ ngày 15tháng 2 năm2024 đến ngày24 tháng 5 năm2024,Ngày 30 tháng 3năm 2024,,,False,False
