table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,0,0,Công ty TNHH MTV Lâm nghiệp Đình Lập,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Đình Lập,,,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,VND,0,1,Công ty TNHH MTV Lâm nghiệp Đình Lập,Số cuối năm VND | 108.266.104.156 | 38.000.000.000,20.708.999.000,20708999000.0,20708999000.0,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,0,2,Công ty TNHH MTV Lâm nghiệp Đình Lập,"Kỳ hạn trả gốc và lãi | Ngày đáo hạn cuối cùng là ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 16 tháng 3 năm 2021.Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 42.177.540.680 VND. | Ngày đáo hạn cuối cùng vào ngày 31 tháng 12 năm 2023. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất năm 2021: 6,2%/năm","Ngày đáo hạn cuối cùng là ngày 31 tháng 12 năm 2024. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất năm 2021: 6,1%/năm và 6,2%/năm",,,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,0,3,Công ty TNHH MTV Lâm nghiệp Đình Lập,Hình thức đảm bảo | Tín chấp | Toàn bộ tài sản của bên vay,"Toàn bộ tài sản, nợ phải thu, hàng tồn kho của bên vay",,,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,1,0,Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quất,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quất,,,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,VND,1,1,Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quất,Số cuối năm VND | 108.266.104.156 | 38.000.000.000,20.647.889.175,20647889175.0,20647889175.0,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,1,2,Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quất,"Kỳ hạn trả gốc và lãi | Ngày đáo hạn cuối cùng là ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 16 tháng 3 năm 2021.Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 42.177.540.680 VND. | Ngày đáo hạn cuối cùng vào ngày 31 tháng 12 năm 2023. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất năm 2021: 6,2%/năm",Ngày đáo hạn cuối cùng là ngày 31 tháng 12 năm 2026 theo Phụ lục hợp đồng vay vốn số 210 ngày 07 tháng 4 năm 2021.Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 2.440.981.047 VND.,,,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,1,3,Công ty TNHH MTV Chế biến gỗ và Đăm gỗ Dung Quất,Hình thức đảm bảo | Tín chấp | Toàn bộ tài sản của bên vay,Tín chấp,,,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,2,0,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Bên vay | Công ty TNHH MTV Ván dán Vinafor Bắc Giang | Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,,,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,VND,2,1,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Số cuối năm VND | 108.266.104.156 | 38.000.000.000,1.616.664.500,1616664500.0,1616664500.0,False,False
VIF_financial_statements_2021_separate|table_18,VIF_financial_statements_2021_separate,VIF,2021,separate,PERCENT,2,2,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,"Kỳ hạn trả gốc và lãi | Ngày đáo hạn cuối cùng là ngày 31 tháng 12 năm 2028 theo Phụ lục hợp đồng vay vốn số 195 ngày 16 tháng 3 năm 2021.Gốc vay và lãi vay trả khi đáo hạn. Lãi suất bắt đầu áp dụng từ ngày 1 tháng 1 năm 2021 là 5%/năm. Tổng Công ty đã trích lập dự phòng theo thời gian quá hạn của các khoản vay với giá trị là 42.177.540.680 VND. | Ngày đáo hạn cuối cùng vào ngày 31 tháng 12 năm 2023. Lãi vay và gốc vay trả khi đáo hạn. Lãi suất năm 2021: 6,2%/năm","Ngày đáo hạn theo từng hợp đồng cho vay với ngày đáo hạn cuối cùng là ngày 4 tháng 3 năm 2026. Lãi vay và gốc vay trả theo quy định của từng Giấy nhận nợ. Lãi suất năm 2021 là 3,7%/năm và 5%/năm",,,False,False
