table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,0,0,Lợi nhuận thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang từ trang trước sang),column_1,Lợi nhuận thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang từ trang trước sang),,,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,0,1,Lợi nhuận thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang từ trang trước sang),Mã số,60,60.0,60.0,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,0,2,Lợi nhuận thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang từ trang trước sang),Thuyết minh,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,0,3,Lợi nhuận thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang từ trang trước sang),Năm kết thúc ngày | 30/9/2022 VND,251.320.306.484,251320306484.0,251320306484.0,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,0,4,Lợi nhuận thuần sau thuế TNDN(60 = 50 - 51 - 52)(mang từ trang trước sang),Năm kết thúc ngày | 30/9/2021 VND,4.313.494.062.259,4313494062259.0,4313494062259.0,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,1,0,Trong đó:Lợi nhuận sau thuế của Công ty mẹ Lỗ sau thuế của cổ đông không kiểm soát,column_1,Trong đó:Lợi nhuận sau thuế của Công ty mẹ Lỗ sau thuế của cổ đông không kiểm soát,,,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,1,1,Trong đó:Lợi nhuận sau thuế của Công ty mẹ Lỗ sau thuế của cổ đông không kiểm soát,Mã số,6162,6162.0,6162.0,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,1,2,Trong đó:Lợi nhuận sau thuế của Công ty mẹ Lỗ sau thuế của cổ đông không kiểm soát,Thuyết minh,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,1,3,Trong đó:Lợi nhuận sau thuế của Công ty mẹ Lỗ sau thuế của cổ đông không kiểm soát,Năm kết thúc ngày | 30/9/2022 VND,251.341.330.129(21.023.645),,,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,1,4,Trong đó:Lợi nhuận sau thuế của Công ty mẹ Lỗ sau thuế của cổ đông không kiểm soát,Năm kết thúc ngày | 30/9/2021 VND,4.313.507.233.783(13.171.524),,,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,2,0,,column_1,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,2,1,,Mã số,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,2,2,,Thuyết minh,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,2,3,,Năm kết thúc ngày | 30/9/2022 VND,Năm kết thúc ngày,,,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,2,4,,Năm kết thúc ngày | 30/9/2021 VND,Năm kết thúc ngày,,,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,3,0,,column_1,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,3,1,,Mã số,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,3,2,,Thuyết minh,,,,False,True
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,3,3,,Năm kết thúc ngày | 30/9/2022 VND,30/9/2022 VND,,,False,False
HSG_financial_statements_2022_consolidated|table_6,HSG_financial_statements_2022_consolidated,HSG,2022,consolidated,VND,3,4,,Năm kết thúc ngày | 30/9/2021 VND,30/9/2021 VND,,,False,False
