table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,0,0,Trái phiếu niêm yết,column_1,Trái phiếu niêm yết,,,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,0,1,Trái phiếu niêm yết,Ngày 31 tháng 12năm 2022triệu đồng,31.322.915,31322915.0,31322915000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,0,2,Trái phiếu niêm yết,Ngày 31 tháng 12năm 2021triệu đồng,31.287.293,31287293.0,31287293000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,1,0,Trái phiếu chưa niêm yết(Thuyết minh số 13.3),column_1,Trái phiếu chưa niêm yết(Thuyết minh số 13.3),,,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,1,1,Trái phiếu chưa niêm yết(Thuyết minh số 13.3),Ngày 31 tháng 12năm 2022triệu đồng,46.784.107,46784107.0,46784107000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,1,2,Trái phiếu chưa niêm yết(Thuyết minh số 13.3),Ngày 31 tháng 12năm 2021triệu đồng,42.410.865,42410865.0,42410865000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,2,0,Giấy tờ có giá khác chưa niêm yết(Thuyết minh số 13.3),column_1,Giấy tờ có giá khác chưa niêm yết(Thuyết minh số 13.3),,,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,2,1,Giấy tờ có giá khác chưa niêm yết(Thuyết minh số 13.3),Ngày 31 tháng 12năm 2022triệu đồng,4.595.839,4595839.0,4595839000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,2,2,Giấy tờ có giá khác chưa niêm yết(Thuyết minh số 13.3),Ngày 31 tháng 12năm 2021triệu đồng,1.600.006,1600006.0,1600006000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,3,0,Chứng khoán vốn niêm yết,column_1,Chứng khoán vốn niêm yết,,,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,3,1,Chứng khoán vốn niêm yết,Ngày 31 tháng 12năm 2022triệu đồng,15.357,15357.0,15357000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,3,2,Chứng khoán vốn niêm yết,Ngày 31 tháng 12năm 2021triệu đồng,15.357,15357.0,15357000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,4,0,,column_1,,,,False,True
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,4,1,,Ngày 31 tháng 12năm 2022triệu đồng,82.718.218,82718218.0,82718218000000.0,False,False
VPB_financial_statements_2022_separate_1|table_43,VPB_financial_statements_2022_separate_1,VPB,2022,separate,MILLION_VND,4,2,,Ngày 31 tháng 12năm 2021triệu đồng,75.313.521,75313521.0,75313521000000.0,False,False
