table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,0,0,Tiền gửi của khách hàng,Cổ đông lớn và các bên liên quan với cổ đông lớn,Tiền gửi của khách hàng,,,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,0,1,Tiền gửi của khách hàng,Số cuối năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,8.797.126,8797126.0,8797126000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,0,2,Tiền gửi của khách hàng,Số đầu năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,7.203.382,7203382.0,7203382000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,1,0,- Tiền gửi thanh toán,Cổ đông lớn và các bên liên quan với cổ đông lớn,- Tiền gửi thanh toán,,,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,1,1,- Tiền gửi thanh toán,Số cuối năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,5.728.692,5728692.0,5728692000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,1,2,- Tiền gửi thanh toán,Số đầu năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,3.579.821,3579821.0,3579821000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,2,0,- Tiền gửi có kỳ hạn,Cổ đông lớn và các bên liên quan với cổ đông lớn,- Tiền gửi có kỳ hạn,,,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,2,1,- Tiền gửi có kỳ hạn,Số cuối năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,2.613.952,2613952.0,2613952000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,2,2,- Tiền gửi có kỳ hạn,Số đầu năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,3.479.858,3479858.0,3479858000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,3,0,- Tiền gửi tiết kiệm,Cổ đông lớn và các bên liên quan với cổ đông lớn,- Tiền gửi tiết kiệm,,,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,3,1,- Tiền gửi tiết kiệm,Số cuối năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,440.482,440482.0,440482000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,3,2,- Tiền gửi tiết kiệm,Số đầu năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,129.703,129703.0,129703000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,4,0,"-Tiền gửi kỳ quỹ, đảm báo thanh toán",Cổ đông lớn và các bên liên quan với cổ đông lớn,"-Tiền gửi kỳ quỹ, đảm báo thanh toán",,,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,4,1,"-Tiền gửi kỳ quỹ, đảm báo thanh toán",Số cuối năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,14.000,14000.0,14000000000.0,False,False
HDB_financial_statements_2025_consolidated|table_96,HDB_financial_statements_2025_consolidated,HDB,2025,consolidated,MILLION_VND,4,2,"-Tiền gửi kỳ quỹ, đảm báo thanh toán",Số đầu năm | Triệu VND | Cổ đông lớn và các bên liên quan với cổ đông lớn,14.000,14000.0,14000000000.0,False,False
