table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,0,0,BVF,Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,BVF,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,0,1,BVF,Giao dịch | Công ty con (tiếp theo) | Lợi nhuận được nhậnDoanh thu dịch vụ CNTTThu từ phân bổ chi phíDoanh thu phí đào tạoDoanh thu cho thuê văn phòngChi phí mua bảo hiểm,Lợi nhuận được nhậnDoanh thu dịch vụ CNTTDoanh thu phí đào tạoDoanh thu cho thuê văn phòng,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,0,2,BVF,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND | Công ty con (tiếp theo) | 223.376.000.00092.307.437.4662.567.335.773464.000.000222.460.000(4.077.350.037),47.732.000.0001.570.938.55921.000.0004.062.576.000,4.7732000000157094e+38,4.7732000000157094e+38,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,0,3,BVF,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND | Công ty con (tiếp theo) | 226.613.000.00087.880.607.9042.618.419.103227.560.5901.933.067.372(3.582.712.777),48.463.000.0001.705.112.155--,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,1,0,BVIF,Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,BVIF,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,1,1,BVIF,Giao dịch | Công ty con (tiếp theo) | Lợi nhuận được nhậnDoanh thu dịch vụ CNTTThu từ phân bổ chi phíDoanh thu phí đào tạoDoanh thu cho thuê văn phòngChi phí mua bảo hiểm,Cổ tức được nhận,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,1,2,BVIF,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND | Công ty con (tiếp theo) | 223.376.000.00092.307.437.4662.567.335.773464.000.000222.460.000(4.077.350.037),21.000.000.000,21000000000.0,21000000000.0,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,1,3,BVIF,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND | Công ty con (tiếp theo) | 226.613.000.00087.880.607.9042.618.419.103227.560.5901.933.067.372(3.582.712.777),-,0.0,0.0,True,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,2,0,BVSC,Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,BVSC,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,2,1,BVSC,Giao dịch | Công ty con (tiếp theo) | Lợi nhuận được nhậnDoanh thu dịch vụ CNTTThu từ phân bổ chi phíDoanh thu phí đào tạoDoanh thu cho thuê văn phòngChi phí mua bảo hiểm,"Cổ tức được nhậnDoanh thu dịch vụ CNTTPhi lưu kýPhí giao dịch chứng khoán, báo cáo biến động cổ phiếu, phí quản lý cổ đôngPhí tự vấnDoanh thu phí đào tạoDoanh thu cho thuê văn phòng",,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,2,2,BVSC,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND | Công ty con (tiếp theo) | 223.376.000.00092.307.437.4662.567.335.773464.000.000222.460.000(4.077.350.037),34.624.954.400440.124.402(214.648.513)(315.975.376)(100.000.000)10.500.0006.161.904.000,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,2,3,BVSC,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND | Công ty con (tiếp theo) | 226.613.000.00087.880.607.9042.618.419.103227.560.5901.933.067.372(3.582.712.777),34.624.954.4001.511.454.396(231.420.550)(393.142.936)(100.000.000)-,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,3,0,BVInvest,Các bên liên quan | Công ty con (tiếp theo) | Bảo hiểm Bảo Việt,BVInvest,,,False,False
BVH_financial_statements_2022_separate|table_48,BVH_financial_statements_2022_separate,BVH,2022,separate,VND,3,1,BVInvest,Giao dịch | Công ty con (tiếp theo) | Lợi nhuận được nhậnDoanh thu dịch vụ CNTTThu từ phân bổ chi phíDoanh thu phí đào tạoDoanh thu cho thuê văn phòngChi phí mua bảo hiểm,Lợi nhuận được nhậnDoanh thu cho thuê văn phòng và khai thác bãi xeDoanh thu dịch vụ CNTTPhi quản lý tòa nhà và thủ lao ủy thác cho thuê văn phòngChi phí sửa chữa và các dịch vụ khácChi phí năng lượng,,,False,False
