table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,0,0,Doanh thu bán LPG,column_1,Doanh thu bán LPG,,,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,0,1,Doanh thu bán LPG,Năm nay | VND,54.845.393.667.415,54845393667415.0,54845393667415.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,0,2,Doanh thu bán LPG,Năm trước | VND,53.233.751.738.462,53233751738462.0,53233751738462.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,1,0,Doanh thu bán khí khô,column_1,Doanh thu bán khí khô,,,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,1,1,Doanh thu bán khí khô,Năm nay | VND,40.612.798.525.092,40612798525092.0,40612798525092.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,1,2,Doanh thu bán khí khô,Năm trước | VND,38.264.414.559.105,38264414559105.0,38264414559105.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,2,0,Doanh thu bán LNG,column_1,Doanh thu bán LNG,,,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,2,1,Doanh thu bán LNG,Năm nay | VND,12.965.751.544.839,12965751544839.0,12965751544839.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,2,2,Doanh thu bán LNG,Năm trước | VND,3.773.615.699.921,3773615699921.0,3773615699921.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,3,0,Doanh thu vận chuyển khí và condensate,column_1,Doanh thu vận chuyển khí và condensate,,,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,3,1,Doanh thu vận chuyển khí và condensate,Năm nay | VND,2.389.370.062.789,2389370062789.0,2389370062789.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,3,2,Doanh thu vận chuyển khí và condensate,Năm trước | VND,2.750.393.495.768,2750393495768.0,2750393495768.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,4,0,Doanh thu bán condensate,column_1,Doanh thu bán condensate,,,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,4,1,Doanh thu bán condensate,Năm nay | VND,965.997.702.786,965997702786.0,965997702786.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,4,2,Doanh thu bán condensate,Năm trước | VND,1.000.531.302.354,1000531302354.0,1000531302354.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,5,0,Doanh thu khác,column_1,Doanh thu khác,,,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,5,1,Doanh thu khác,Năm nay | VND,470.052.154.492,470052154492.0,470052154492.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,5,2,Doanh thu khác,Năm trước | VND,379.044.492.538,379044492538.0,379044492538.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,6,0,,column_1,,,,False,True
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,6,1,,Năm nay | VND,112.249.363.657.413,112249363657413.0,112249363657413.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,6,2,,Năm trước | VND,99.401.751.288.148,99401751288148.0,99401751288148.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,7,0,Trong đó: Doanh thu với các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 36),column_1,Trong đó: Doanh thu với các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 36),,,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,7,1,Trong đó: Doanh thu với các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 36),Năm nay | VND,43.281.177.479.983,43281177479983.0,43281177479983.0,False,False
GAS_financial_statements_2025_separate|table_48,GAS_financial_statements_2025_separate,GAS,2025,separate,VND,7,2,Trong đó: Doanh thu với các bên liên quan chủ yếu(chỉ tiết tại Thuyết minh số 36),Năm trước | VND,30.871.757.597.331,30871757597331.0,30871757597331.0,False,False
