table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,0,0,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Năm trước,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,,,False,False
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,0,1,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | An Giang,685.048.294.243,685048294243.0,685048294243.0,False,False
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,0,2,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Đồng Tháp,2.019.057.368.584,2019057368584.0,2019057368584.0,False,False
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,0,3,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Địa bàn khác,94.921.850.923,94921850923.0,94921850923.0,False,False
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,0,4,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Tổng cộng,2.799.027.513.750,2799027513750.0,2799027513750.0,False,False
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,1,0,Doanh thu thuần cung cấp giữa các bộ phận,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Năm trước,Doanh thu thuần cung cấp giữa các bộ phận,,,False,False
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,1,1,Doanh thu thuần cung cấp giữa các bộ phận,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | An Giang,,,,False,True
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,1,2,Doanh thu thuần cung cấp giữa các bộ phận,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Đồng Tháp,,,,False,True
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,1,3,Doanh thu thuần cung cấp giữa các bộ phận,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Địa bàn khác,,,,False,True
ASM_financial_statements_2024_separate|table_92,ASM_financial_statements_2024_separate,ASM,2024,separate,VND,1,4,Doanh thu thuần cung cấp giữa các bộ phận,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024 | Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND | Tổng cộng,-,0.0,0.0,True,False
